date,time,temperature,humidity
2023-49-28,22:49:37,23.0,20.0
2023-49-28,22:49:43,23.0,20.0
2023-49-28,22:49:58,23.0,20.0
2023-51-28,22:51:01,23.0,20.0
2023-51-28,22:51:09,23.0,20.0
2023-51-28,22:51:14,23.0,20.0
2023-51-28,22:51:20,23.0,20.0
2023-51-28,22:51:26,23.0,20.0
2023-51-28,22:51:31,23.0,20.0
2023-58-28,22:58:27,23.0,20.0
2023-58-28,22:58:33,23.0,20.0
2023-58-28,22:58:38,23.0,20.0
